ratings,title,text,author,date_stayed,offering_id,num_helpful_votes,date,id,via_mobile
"{'service': 4.0, 'cleanliness': 4.0, 'overall': 4.0, 'value': 4.0, 'location': 5.0, 'sleep_quality': 4.0, 'rooms': 4.0}",“Great location!”,"We chose the San Carlos based on reviews in T.A and were not disappointed. Location was great, rooms large in good condition, well appointed and staff friendly and helpful. San Carlos was a great location for all the mid and uptown events and attractions we had planned. Close enough for an easy walk to Times Square but far enough away from the crowd and noise. Near to subway for added convenience. The guest rooms are quite large, though the bath is smaller, but we would recommend to friends and stay again on our next NYC visit.","{'username': 'tryingfor100', 'num_cities': 12, 'num_helpful_votes': 8, 'num_reviews': 28, 'num_type_reviews': 12, 'id': '2A66F1FFC377F8CFB078A122A4DDC3E5', 'location': 'Phoenix, Arizona'}",December 2012,80112,0,2012-12-17,147640456,False
"{'service': 5.0, 'cleanliness': 5.0, 'overall': 5.0, 'value': 5.0, 'location': 5.0, 'sleep_quality': 5.0, 'rooms': 5.0}",“Best hotel in New York”,"The service, location, cleanliness were outstanding. Even though the hot water was supposed to be off from 11:00 p.m. to 6:00 a.m. (do not know if it was or not) it did not affect me. It is a great hotel to walk from/to as one gets the full flavor of 5th Avenue.","{'username': 'Tom G', 'num_reviews': 8, 'num_cities': 3, 'id': '680AA74DAD6C294713EEF38D09B0625D', 'location': 'Castle Rock, Colorado'}",November 2012,93559,0,2012-12-18,147677090,False
"{'service': 5.0, 'cleanliness': 5.0, 'overall': 5.0, 'value': 5.0, 'location': 5.0, 'sleep_quality': 5.0, 'rooms': 5.0}",“My favorite classy hotel in New York City”,"This is one of the best and my favorite swanky hotel in New York City. When in NYC this is where I stay. An intimate atmosphere, attentive courteous staff, wonderful location across the street from Central Park. Wonderful bar and restaurants. This is what the Ritz Carlton's try to be. 
If you've never stayed at the Sherry Netherland I suggest you try it. If you have stayed there, then you must know what I am talking about.","{'username': 'Peter G', 'num_cities': 18, 'num_helpful_votes': 11, 'num_reviews': 38, 'num_type_reviews': 10, 'id': '1599EC7EFF037E47A251CB5F20ACCAA9', 'location': 'Lake Arrowhead, California, United States'}",March 2012,93559,1,2012-11-25,146143543,False
"{'service': 5.0, 'cleanliness': 5.0, 'overall': 5.0, 'value': 5.0, 'location': 5.0, 'sleep_quality': 5.0, 'rooms': 5.0}",“Simply perfect”,"When we pulled up at the curb in front of the hotel we were greeted immediately by the bellman. He whisked our luggage into the hotel, the car was taken care of and we were instantly relaxing, enjyoing NYC.","{'username': 'NycHappytraveler', 'num_cities': 5, 'num_helpful_votes': 7, 'num_reviews': 12, 'num_type_reviews': 6, 'id': '6C28078DE49DEF73AA0CB5313C5C69EA', 'location': 'nyc'}",November 2012,93559,1,2012-11-13,145321090,False
"{'service': 5.0, 'cleanliness': 5.0, 'overall': 5.0, 'value': 5.0, 'location': 5.0, 'sleep_quality': 5.0, 'rooms': 5.0}",“Excellent location”,"Loved the hotel. Great location - only 2 blocks from 72nd St subway. We had a 1 bedroom suite on the 24th floor and had a wonderful view of the Hudson River and the upper West Side. Lovely subtle green decor and room large for NYC standards. It was great having the living area with the lounge that converted into a double bed for our 2 children (12 and 14). Kitchenette was handy to eat breakfast in. We did cook a few evening meals but were limited with cutlery! The Fairway market across the road from the hotel was fabulous. It had an amazing variety of produce as well as ready cooked meals. Having the laundry on the 7th floor was extremely handy. US$1.75 per load and you could get change from the front reception. The staff and front doormen were all very friendly and helpful. Next to the lift is an info desk where you could get a map of NYC. We used this map for the subway, streets and main attractions as these were all on it. Good bottle shop next door to hotel as well.","{'username': 'Erica1103', 'num_cities': 2, 'num_helpful_votes': 1, 'num_reviews': 7, 'location': 'Christmas Island, Australia', 'id': '035080D10D186778123E6A58C11E0608'}",December 2012,93338,0,2012-12-17,147634248,False
"{'service': 5.0, 'cleanliness': 5.0, 'overall': 5.0, 'value': 4.0, 'location': 5.0, 'sleep_quality': 5.0, 'rooms': 5.0}",“All-round fantastic NYC hotel”,"Our first stay on the upper west side and can't say enough good things about the Hotel Beacon. We stayed here based on reviews of family friendly hotels. I'm not sure exactly how they are more family friendly than any other hotel except for the suites and kitchenettes for budget-conscious families. There weren't any special programs for kids, but we did see other families there. For NYC, a nice sized Queen suite gave us everything we needed. Didn't use the kitchen for our overnight stay but definitely would in the future. Rooms were comfortable (ok... a little tight at the foot of the bed but not like some complaints described), the amenities were really appreciated, e.g., free wifi, Keurig coffee service in room, desk area, energy efficient rooms (you put your room card in a device that controls the electricity to save energy while you're out). Lovely bathrooms (although they need a hand towel holder), but really comfortable. We are a family of 3 so the kiddo slept on the pull-out sofa. Room was in good condition-- it appears that shade of green must be the theme, but its nice. The bellman held our luggage after checkout to allow us to stay in the city and not have to worry about our bags. Parking garage is right around the corner -- very close. Viand diner downstairs was OK for dinner -- not great but sufficient. Friendly front desk folks were really helpful -- have breakfast at Bagel Talk not too far away. Very convenient to American Museum of Natural History -- easy to catch a cab or subway. We will definitely stay here again and very happy to recommend.","{'username': 'rmfindc', 'num_reviews': 8, 'num_cities': 2, 'id': '412A714D6BF1607A01CC828645DD70AE', 'location': 'Gaithersburg, Maryland'}",December 2012,93338,0,2012-12-17,147625002,False
"{'service': 5.0, 'cleanliness': 5.0, 'overall': 5.0, 'value': 4.0, 'location': 5.0, 'sleep_quality': 5.0, 'rooms': 5.0}",“Great hotel in nice area”,"Great room, very big with huge bed! Great location, just one block's walk from 72nd subway then 5 minute ride to Times Square and anywhere you want to go from there!
We had a room on the 24th floor so great views of San Remo building and Central Park but building sways ALOT in windy weather, very weird at first!
Very close to Central Park, check out Cafe Viand for sit down breakfast and Fairway and Levain Bakery for take away breakfast.
Great all in all!","{'username': 'MiloandMaya', 'num_cities': 2, 'num_helpful_votes': 3, 'num_reviews': 12, 'location': 'Durham', 'id': '72B051F423790BE5F0EF6A9FD23EB77E'}",December 2012,93338,0,2012-12-17,147623184,False
"{'service': 5.0, 'cleanliness': 5.0, 'overall': 5.0, 'value': 5.0, 'location': 5.0, 'sleep_quality': 5.0, 'rooms': 5.0}",“Great value”,"We stayed at this property in October for a week. Had a king suite, which really was a suite, with sitting room/kitchenette, bedroom and bath. The room was at the rear of the building, which might have been a problem on lower floors (the air shaft was below us); however, we were on the 10th floor and had a decent view to the east, overlooking rooftops. Television in both rooms. The staff was very friendly and helpful. The market across the street was handy for breakfast items and snacks. Only a couple short blocks to the 72nd Street subway.station, where you can pick up the 1,2 and 3 trains. We had previously stayed at a hotel further north, but, nice as it was (with accompanying prices), it cannot compare with the Beacon for value. Definitely recommended.","{'username': 'WYbirdwatcher', 'num_cities': 40, 'num_helpful_votes': 51, 'num_reviews': 80, 'num_type_reviews': 37, 'id': '4DD6C4346D4768ADE814D7A01E956BB7', 'location': 'Cheyenne'}",October 2012,93338,0,2012-12-17,147622021,False
"{'service': 3.0, 'cleanliness': 5.0, 'overall': 4.0, 'value': 4.0, 'location': 5.0, 'sleep_quality': 5.0, 'rooms': 5.0}",“Excellent! Will be back:-)”,This was our first stay at the Andaz. Lovely little hotel with great views of the library. VERY spacious with a HUGE bathroom! The complimentary drinks and snacks were a plus. Very quiet. My only complaint was there was no one to help us with bags or getting a cab. We had quite a bit of luggage and no one was around to open the door at the entrance (which consists of 2 black doors that are also not marked. We wandered around a bit before realizing this WAS the main entrance)!! We needed to get a cab to the train station and were told that none were available and that we should try and walk to Madison Ave to get one! No easy feat with lots of luggage and it was quite the walk. Clearly they should have the means to summon a cab. Hopefully this will be addressed before our next visit!,"{'username': 'Reba G', 'num_reviews': 2, 'id': 'B20F8339DA7EEBDE0D00D17B3889A49B', 'location': 'Philadelphia, Pennsylvania', 'num_helpful_votes': 2}",December 2012,1762573,0,2012-12-16,147577025,False
"{'service': 5.0, 'cleanliness': 4.0, 'overall': 4.0, 'value': 4.0, 'location': 5.0, 'sleep_quality': 4.0, 'rooms': 4.0}",“Great Midtown Hotel”,"I was lucky enough to use my Hyatt two free nights to stay at this hotel in early December. Went with my adult daughter and we stayed in a corner room with two twin beds on the ninth floor. It's tough to find good hotels with two beds in a room in NYC so this was a bonus. The room was very quiet. I could not hear anyone from other rooms, the hallway or any street noise. The room has a sleek modern design and was spacious for NYC standards. I loved the bathroom. Being able to get a cold bottle of water at all times was great and snacks in the rooms was a nice touch.
I also loved the overall vibe of the hotel; small, hip, clean, and friendly. Great artwork. Not warm and cozy though. The seating in the ""lobby"" is not particularly comfortable or inviting. The staff was young and not as experienced as one would find at a five-star hotel but this is not a five-star hotel. They did the best they could to help with restaurant reservations, shopping information and other general information. Easy walk from here to Grand Central Station to hop the subway and cabs easy to find. Loved being across from The New York Pubic Library and Bryant Park. Lovely pop-up stores and ice skating in Bryant Park for the holidays. Beats the craziness of Rockefeller Center in my book. 
There are a few problems that I believe can be corrected easily. One is the lack of proper lighting in the room, the architect and designers clearly were not thinking of women when they designed the rooms. It is very dark and would be really difficult if you were trying to get ready for a special event. Also there is no drawer space and the closet is minuscule. Not sure how to correct that issue. The other problem is that the beds, at least the twins we slept in, were not very comfortable. Very firm which is fine if you like it that way. All in all though, my memories are of a great stay.","{'username': 'beachlsr', 'num_cities': 5, 'num_helpful_votes': 1, 'num_reviews': 9, 'num_type_reviews': 4, 'id': '851AD5B3B4127850A9292129C156D704', 'location': 'Hilton Head'}",December 2012,1762573,0,2012-12-16,147561287,False
"{'service': 4.0, 'cleanliness': 5.0, 'overall': 4.0, 'value': 5.0, 'location': 5.0, 'sleep_quality': 5.0, 'rooms': 5.0}",“Stunningly Wonderful!”,"Other hotels in NYC that are space challenged would do well to take note of what Hyatt has done with its two Andaz properties here. Not only is the 5th Avenue property in a great location, but the rooms are wonderfully designed and well appointed and the staff does a great job in terms of customer service. My wife and I arrived at 10am on a Saturday morning and the hotel had been sold out the night before. However, the young lady checked us in quickly and asked for a phone number to call us when our room was ready. We went out to have breakfast and before we were finished she call to let me know that the room was ready. We also loved the complimentary snacks and beverages in the mini frig, as well as in the lounge. The only drawback is that the Internet is painstakingly slow, which is the reaso for the 4 stars. Except for that, the hotel is a 5 all around. Would definitely recommend highly.","{'username': 'romadaro', 'num_cities': 70, 'num_helpful_votes': 156, 'num_reviews': 103, 'num_type_reviews': 85, 'id': 'C81AB7D49D98FA410EA191E15F427BEC', 'location': 'Washington, DC'}",December 2012,1762573,5,2012-12-16,147531970,False
